,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Client ID,,IM85: North Slope Crude,,,,,IE89: North Star reference oil,,,,
,,,,,,,,,,,
Battelle ID,,CH048CO-P,,,,,CH052CO-P,,,,
Sample Type,,CO,,,,,CO,,,,
Collection Date,,09/02/15,,,,,9/2/2015,,,,
Extraction Date,,09/02/15,,,,,9/2/2015,,,,
Analysis Date,,09/03/15,,,,,9/3/2015,,,,
Analytical Instrument,,MS,,,,,MS,,,,
% Moisture,,NA,,,,,NA,,,,
% Lipid,,NA,,,,,NA,,,,
Matrix,,OIL,,,,,OIL,,,,
Sample Size,,5.04,,,,,5.0005,,,,
Size Unit-Basis,,MG_OIL,,,,,MG_OIL,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,MG/KG_OIL,,Target,% Difference,Qualifier
,,,,,,,,,,,
Naphthalene,,642.337,,676.23,5.0,,734.574,,,,
C1-Naphthalenes,,1442.966,,1450.57,0.5,,2068.236,,,,
C2-Naphthalenes,,1805.572,,1786.47,1.1,,2662.084,,,,
C3-Naphthalenes,,1347.668,,1336.32,0.8,,1862.733,,,,
C4-Naphthalenes,,743.423,,732.55,1.5,,809.702,,,,
Biphenyl,,205.132,,213.99,4.1,,337.029,,,,
Acenaphthylene,,7.571,,,,,8.468,,,,
Acenaphthene,,15.040,,11.95,25.9,,16.041,,,,
Dibenzofuran,,67.689,,71.17,4.9,,66.385,,,,
Fluorene,,98.116,,94.39,3.9,,174.861,,,,
C1-Fluorenes,,240.161,,239.32,0.4,,326.783,,,,
C2-Fluorenes,,338.387,,349.52,3.2,,379.486,,,,
C3-Fluorenes,,302.461,,311.37,2.9,,311.843,,,,
Anthracene,,2.583,U,,,,2.602,U,,,
Phenanthrene,,293.536,,293.23,0.1,,374.418,,,,
C1-Phenanthrenes/Anthracenes,,617.240,,610.79,1.1,,746.853,,,,
C2-Phenanthrenes/Anthracenes,,683.834,,675.89,1.2,,745.384,,,,
C3-Phenanthrenes/Anthracenes,,539.365,,472.86,14.1,,511.705,,,,
C4-Phenanthrenes/Anthracenes,,200.886,,179.20,12.1,,176.040,,,,
Retene,,37.574,,,,,29.037,,,,
Dibenzothiophene,,223.355,,236.53,5.6,,88.831,,,,
C1-Dibenzothiophenes,,407.907,,447.76,8.9,,172.244,,,,
C2-Dibenzothiophenes,,554.907,,587.43,5.5,,209.473,,,,
C3-Dibenzothiophenes,,481.472,,486.78,1.1,,138.345,,,,
C4-Dibenzothiophenes,,260.231,,246.27,5.7,,63.091,,,,
Fluoranthene,,4.943,,,,,6.584,,,,
Pyrene,,13.083,,14.07,7.0,,19.378,,,,
C1-Fluoranthenes/Pyrenes,,81.215,,80.37,1.1,,100.325,,,,
C2-Fluoranthenes/Pyrenes,,136.377,,129.00,5.7,,155.694,,,,
C3-Fluoranthenes/Pyrenes,,161.754,,147.57,9.6,,148.194,,,,
Benzo(a)anthracene,,1.907,J,,,,1.573,J,,,
Chrysene,,44.231,,50.47,12.4,,43.266,,,,
C1-Chrysenes,,73.672,,85.54,13.9,,72.291,,,,
C2-Chrysenes,,102.348,,107.24,4.6,,92.452,,,,
C3-Chrysenes,,76.025,,89.83,15.4,,60.528,,,,
C4-Chrysenes,,61.465,,67.08,8.4,,38.825,,,,
Benzo(b)fluoranthene,,6.860,,6.90,0.6,,6.095,,,,
Benzo(k)fluoranthene,,5.132,U,,,,5.171,U,,,
Benzo(e)pyrene,,11.467,,13.16,12.9,,12.407,,,,
Benzo(a)pyrene,,1.622,J,,,,0.822,J,,,
Perylene,,2.588,U,,,,2.608,U,,,
"Indeno(1,2,3-cd)pyrene",,2.580,U,,,,2.600,U,,,
"Dibenz(a,h)anthracene",,0.876,J,,,,2.579,U,,,
"Benzo(g,h,i)perylene",,3.121,,3.53,11.6,,1.479,J,,,
Total PAH,,12300.222,,,,,13744.522,,,,
"14a(H),17a(H)-20R-Cholestane",,62.995,,,,,59.652,,,,
"13b(H),17a(H)-20S-Diacholestane ",,43.266,,48.21,10.3,,46.245,,,,
"13b(H),17a(H)-20R-Diacholestane",,22.009,,24.11,8.7,,24.625,,,,
"13b(H),17a(H)-20S-Methyldiacholestane",,20.172,,,,,17.285,,,,
"14a(H),17a(H)-20S-Cholestane",,54.621,,,,,66.107,,,,
"14b(H),17b(H)-20R-Cholestane",,35.229,,,,,19.800,,,,
"14b(H),17b(H)-20S-Cholestane",,37.660,,,,,20.643,,,,
"14a(H),17a(H)-20S-methylcholestane",,32.180,,,,,20.843,,,,
"14b(H),17b(H)-20R-Methylcholestane",,38.095,,,,,20.598,,,,
"14b(H),17b(H)-20S-Methylcholestane",,32.679,,,,,21.420,,,,
"14a(H),17a(H)-20R-methylcholestane ",,28.930,,34.51,16.2,,12.917,,,,
"14a(H),17a(H)-20S-Ethylcholestane",,29.999,,37.25,19.5,,17.547,,,,
"14b(H),17b(H)-20R-Ethylcholestane",,48.690,,,,,37.467,,,,
"14b(H),17b(H)-20S-Ethylcholestane",,39.529,,,,,34.159,,,,
"14a(H),17a(H)-20R-Ethylcholestane",,30.090,,35.65,15.6,,15.598,,,,
C23 Tricyclic Terpane,,45.466,,57.65,21.1,,34.357,,,,
C24 Tricyclic Terpane ,,30.116,,,,,27.821,,,,
C25 Tricyclic Terpane,,28.319,,,,,32.021,,,,
C24 Tetracyclic Terpane,,3.278,J,,,,3.826,J,,,
C26 Tricyclic Terpane-22S,,10.585,,,,,10.796,,,,
C26 Tricyclic Terpane-22R,,10.149,,,,,13.090,,,,
C28 Tricyclic Terpane-22S,,10.400,,,,,14.074,,,,
C28 Tricyclic Terpane-22R,,11.351,,,,,13.152,,,,
C29 Tricyclic Terpane-22S,,13.832,,18.34,24.6,,19.296,,,,
C29 Tricyclic Terpane-22R,,14.649,,17.49,16.2,,17.704,,,,
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,17.418,,19.87,12.3,,9.013,,,,
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,24.470,,30.62,20.1,,6.880,J,,,
"17a(H),21b(H)-28,30-Bisnorhopane",,4.724,J,,,,8.261,,,,
"17a(H),21b(H)-25-Norhopane",,6.485,J,,,,7.799,U,,,
30-Norhopane,,64.218,,84.33,23.8,,15.358,,,,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,16.228,,,,,8.613,,,,
17a(H)-Diahopane,,7.992,,,,,9.448,,,,
30-Normoretane,,7.236,J,,,,7.799,U,,,
18a(H) & 18b(H)-Oleananes,,7.740,U,,,,7.799,U,,,
"17a(H),21b(H)-hopane",,110.568,,144.07,23.3,,42.503,,,,
"17b(H),21a(H)-hopane (moretane)",,9.811,,,,,7.799,U,,,
30-Homohopane-22S,,50.707,,66.45,23.7,,17.176,,,,
30-Homohopane-22R,,35.028,,45.33,22.7,,10.146,,,,
"30,31-Bishomohopane-22S",,33.691,,,,,14.178,,,,
"30,31-Bishomohopane-22R",,26.203,,,,,10.569,,,,
"30,31,32-Trishomohopane-22S",,26.112,,,,,11.264,,,,
"30,31,32-Trishomohopane-22R",,18.321,,,,,10.049,,,,
"30,31,32,33-Tetrakishomohopane-22S",,18.298,,,,,9.422,,,,
"30,31,32,33-Tetrakishomohopane-22R",,12.655,,,,,5.487,J,,,
"30,31,32,33,34-Pentakishomohopane-22S",,20.011,,,,,8.363,,,,
"30,31,32,33,34-Pentakishomohopane-22R",,13.903,,,,,6.095,J,,,
Priority Pollutant PAH,,1133.243,,,,,1387.559,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,
,,,,,,,,,,,
Naphthalene-d8,,95,,,,,94,,,,
Acenaphthene-d10,,106,,,,,101,,,,
Phenanthrene-d10,,110,,,,,109,,,,
Benzo(a)pyrene-d12,,104,,,,,100,,,,
5b(H)-Cholane,,97,,,,,96,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
